image_id,Child,Smile,Emotions,Female,Male,PeopleNumber
10161151708559852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161165370549852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161168733534852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161179454074852.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10161192427144852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161196426249852.jpg,FALSE,TRUE,[],TRUE,TRUE,2
10161214691494852.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10161242887429852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161251732669852.jpg,TRUE,TRUE,"['HAPPY', 'FEAR']",FALSE,TRUE,2
10161257166619852.jpg,FALSE,TRUE,[],FALSE,TRUE,1
10161272691414852.jpg,TRUE,TRUE,['CONFUSED'],FALSE,TRUE,2
10161281386824852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161288540209852.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,FALSE,2
10161294954129852.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10161321688424852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161336226069852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161343156874852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161365215769852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161369148234852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161371649554852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161388842409852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161399002519852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161405290119852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161409502799852.jpg,TRUE,TRUE,['SAD'],FALSE,TRUE,1
10161422426739852.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10161428532594852.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,2
10161433217469852.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10161445308794852.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,2
10161459204274852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161465838914852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161480074309852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,2
10161493968594852.jpg,TRUE,TRUE,['HAPPY'],FALSE,TRUE,1
10161530159834852.jpg,TRUE,TRUE,"['HAPPY', 'SAD', 'CONFUSED']",TRUE,TRUE,2
10161533800739852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161536789624852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10161543718859852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161565302464852.jpg,FALSE,TRUE,"['HAPPY', 'CALM', 'SURPRISED']",TRUE,TRUE,2
10161569671859852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161581067859852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161592273664852.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,2
10161606002514852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161614129429852.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10161632421934852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161634544914852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161643491989852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161646664789852.jpg,TRUE,TRUE,['SAD'],FALSE,TRUE,1
10161662403179852.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10161682437219852.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
10161686760364852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161689917874852.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10161698912724852.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10161707141739852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161710895079852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161736401939852.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10161741019029852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161748405914852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161754398674852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161762845184852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161767655804852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161793416279852.jpg,TRUE,TRUE,['CALM'],TRUE,TRUE,2
10161801436654852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161822824664852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161836932159852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161840563129852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161845063364852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
1016185190498485.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161858972804852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161862906854852.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10161870962729852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161881656529852.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10161895904394852.jpg,FALSE,TRUE,[],FALSE,TRUE,1
10161916989309852.jpg,TRUE,TRUE,['HAPPY'],TRUE,TRUE,2
10161922262229852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161932351394852.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,2
10161936416924852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161974657324852.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10161977064009852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161984906759852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10161999078144852.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,TRUE,2
10162019173449852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162021659074852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162043046084852.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",TRUE,FALSE,2
10162045966534852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10162058404219852.jpg,TRUE,TRUE,"['HAPPY', 'SAD']",TRUE,TRUE,2
10162063565519852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162070321834852.jpg,FALSE,TRUE,[],TRUE,FALSE,1
10162100732194852.png,FALSE,FALSE,[],FALSE,FALSE,0
10162112783189852.png,FALSE,FALSE,[],FALSE,FALSE,0
10162116506149852.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
10162119498434852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162134454099852.png,FALSE,FALSE,[],FALSE,FALSE,0
10162137916314852.jpg,TRUE,TRUE,['HAPPY'],TRUE,FALSE,1
10162149401124852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162156900094852.png,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
10162164517694852.png,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10162168109224852.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,1
10162191440934852.png,FALSE,TRUE,['HAPPY'],TRUE,FALSE,2
10162200123289852.jpg,TRUE,TRUE,"['HAPPY', 'CALM']",FALSE,TRUE,2
10162216499814852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162234242044852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
10162264142334852.jpg,FALSE,FALSE,[],FALSE,FALSE,0
1083431215392992.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
1164963253867826.jpg,TRUE,TRUE,['CALM'],TRUE,FALSE,2
1177054479325370.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
1179632839106162.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,2
1182341022139987.jpg,FALSE,TRUE,[],FALSE,TRUE,1
1200084243701194.jpg,FALSE,TRUE,[],TRUE,TRUE,2
1244311392654441.jpg,FALSE,FALSE,[],FALSE,FALSE,0
1254583554875900.jpg,FALSE,TRUE,"['FEAR', 'CALM', 'SAD']",TRUE,TRUE,2
1499769653549133.jpg,FALSE,TRUE,"['CALM', 'SAD']",TRUE,TRUE,2
1670361106450011.jpg,FALSE,TRUE,"['CALM', 'SAD']",FALSE,TRUE,2
1826061167546670.jpg,FALSE,FALSE,[],FALSE,FALSE,0
1878038662348506.jpg,FALSE,FALSE,[],FALSE,FALSE,0
1902299746589478.jpg,FALSE,TRUE,['FEAR'],TRUE,TRUE,2
198081468575764.jpg,FALSE,TRUE,"['HAPPY', 'CALM', 'SAD']",TRUE,TRUE,2
211477830544497.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
2124236077718133.png,FALSE,FALSE,[],FALSE,FALSE,0
217539406629970.jpg,FALSE,FALSE,[],FALSE,FALSE,0
2408791426090222.jpg,FALSE,TRUE,['CALM'],FALSE,TRUE,1
2643019089294596.jpg,FALSE,TRUE,['HAPPY'],TRUE,TRUE,2
2692923104300871.png,FALSE,FALSE,[],FALSE,FALSE,0
2702064866720028.png,FALSE,FALSE,[],FALSE,FALSE,0
2796041280663459.jpg,FALSE,TRUE,['HAPPY'],TRUE,FALSE,1
2801462590174122.jpg,FALSE,TRUE,['CALM'],TRUE,FALSE,1
