image_id,Contrast
10158677566964002.jpg,HIGH
10158677929429002.jpg,HIGH
10158678236669002.jpg,HIGH
10158678566749002.jpg,HIGH
10158679037824002.jpg,HIGH
10158679295354002.jpg,HIGH
10158680066046597.jpg,HIGH
10158680085149002.jpg,HIGH
10158680473164002.jpg,HIGH
10158680546902556.jpg,HIGH
10158681326613798.jpg,HIGH
10158681636624002.jpg,HIGH
10158682987577556.jpg,HIGH
10158683398749002.jpg,HIGH
10158683826716970.jpg,HIGH
10158684155044002.jpg,HIGH
10158684695486597.jpg,HIGH
10158684924252556.jpg,HIGH
10158684998151597.jpg,HIGH
10158685014169002.jpg,HIGH
10158685132984002.png,LOW
10158685307554002.jpg,HIGH
10158685508423798.jpg,HIGH
10158685539888798.jpg,HIGH
10158686357006970.jpg,HIGH
10158687283006597.jpg,LOW
10158687670138798.jpg,HIGH
10158688296337556.jpg,HIGH
10158689631819002.jpg,HIGH
10158689951456597.jpg,HIGH
10158690404173798.jpg,HIGH
10158690506997556.jpg,HIGH
10158690596236970.jpg,HIGH
10158691639716597.jpg,HIGH
10158691701964002.jpg,HIGH
10158692465169002.jpg,HIGH
10158692986672556.jpg,LOW
10158693088061970.jpg,HIGH
10158693538544002.jpg,HIGH
10158694301444002.jpg,HIGH
10158695199388798.png,HIGH
10158695746638798.jpg,HIGH
10158696943049002.jpg,HIGH
10158697196927556.jpg,HIGH
10158697345568798.jpg,HIGH
10158697385926597.jpg,HIGH
10158698812549002.jpg,HIGH
10158699527691597.jpg,HIGH
10158699691618798.jpg,HIGH
10158699694707556.jpg,LOW
10158699826659002.jpg,LOW
10158700570264002.jpg,HIGH
10158700848604002.jpg,HIGH
10158701514093798.jpg,HIGH
10158702531037556.jpg,HIGH
10158703837253798.jpg,HIGH
10158704534231597.jpg,HIGH
10158706278158798.jpg,HIGH
10158706451559002.jpg,HIGH
10158706511826597.jpg,HIGH
10158706666118798.jpg,HIGH
10158706714303798.jpg,HIGH
10158708534189002.jpg,HIGH
10158709139412556.jpg,HIGH
10158709226859002.jpg,HIGH
10158709272833798.jpg,HIGH
10158709604134002.jpg,HIGH
10158709968526970.jpg,HIGH
10158711140319002.jpg,HIGH
10158711233748798.jpg,HIGH
10158711477672556.jpg,HIGH
101587121859087.jpg,HIGH
10158712346484002.jpg,HIGH
10158712651569002.jpg,HIGH
10158712886666597.jpg,HIGH
10158713496077556.jpg,HIGH
10158713546573798.jpg,HIGH
10158714592174002.jpg,HIGH
10158714709021597.jpg,HIGH
10158715027989002.jpg,HIGH
10158715899143798.jpg,HIGH
10158716960171970.jpg,HIGH
10158717624359002.jpg,HIGH
10158718379658798.jpg,HIGH
10158718720814002.png,LOW
10158719447304002.jpg,LOW
10158719577836597.jpg,HIGH
10158720429683798.jpg,HIGH
10158720673631970.jpg,HIGH
10158721119694002.jpg,HIGH
10158721332867556.jpg,HIGH
10158721897269002.jpg,HIGH
10158722683103798.jpg,HIGH
10158722762909002.jpg,HIGH
10158722946013798.jpg,HIGH
10158723917424002.jpg,HIGH
10158724850858798.jpg,HIGH
10158724960003445.jpg,HIGH
10158725151661970.jpg,HIGH
10158725617819002.jpg,HIGH
10158726056212556.jpg,HIGH
10158726068546597.jpg,HIGH
10158726465294002.png,LOW
10158727043923798.jpg,HIGH
10158727628643798.jpg,HIGH
10158727990727556.jpg,HIGH
10158728665117556.png,HIGH
10158728988236597.jpg,HIGH
1015872923221879.jpg,HIGH
10158729499674002.png,LOW
10158730610678798.jpg,HIGH
10158730983074002.jpg,HIGH
10158731191001597.jpg,HIGH
10158731204644002.jpg,HIGH
10158731976343798.jpg,HIGH
10158732206572556.jpg,HIGH
10158732682683798.jpg,HIGH
10158733352419002.jpg,LOW
10158734165371597.jpg,HIGH
10158734304324002.jpg,HIGH
10158734814953798.jpg,HIGH
10158735062257556.jpg,LOW
10158735437663798.jpg,HIGH
10158735832684002.png,LOW
10158736488484002.png,LOW
10158736674127556.jpg,HIGH
10158736828944002.jpg,HIGH
10158737452441597.jpg,HIGH
10158737531364002.png,LOW
10158737943543798.jpg,HIGH
10158738365322556.jpg,HIGH
10158739903476597.jpg,HIGH
10158740226663798.jpg,HIGH
10158740516313798.jpg,HIGH
10158740531302556.jpg,HIGH
10158741138964002.jpg,HIGH
10158742096224002.png,LOW
10158742564723798.jpg,HIGH
